product_name,retail_price,discounted_price,product_rating,overall_rating,category
 its rich construction makes this pair of footwear a must have in your collection. The comfy to wear straps furthermore give you an ultimate ease to wear it all day long. Grab this pair and give your everyday ensembles a great augmentation.,,,,,Others
" its rich construction makes this pair of footwear a must have in your collection. The comfy to wear straps furthermore give you an ultimate ease to wear it all day long. Grab this pair and give your everyday ensembles a great augmentation.""",,,,,Others
"Vizion 8502-7PURPLE Sports Series Digital Watch  - For Boys, Girls",1095.0,595.0,,,Watches
,,,,,Others
Digital display,,,,,Others
Digital display,,,,,Others
Belle Gambe Boots,3499.0,1795.0,,,Footwear
"Disney LP-1008 (Yellow) Analog Watch  - For Boys, Girls",795.0,795.0,,,Watches
"Elantra S 10 Analog Watch  - For Boys, Men",2150.0,950.0,,,Watches
Willy Winkies Black Boots,1499.0,999.0,,,Footwear
,,,,,Others
,,,,,Others
,,,,,{{Occasion
"Marvel DW100243 Digital Watch  - For Boys, Girls",299.0,299.0,4.0,4.0,Watches
DJH Boots,999.0,499.0,,,Footwear
,,,,,Others
,,,,,Others
,,,,,{{Occasion
"Franck Bella FB123D Analog Watch  - For Men, Boys",1645.0,1316.0,,,Watches
Get Glamr Stylish Boots,1999.0,499.0,,,Footwear
"Skmei DG1010-Black-Gold Sports Digital Watch  - For Men, Boys, Women, Girls",1299.0,899.0,,,Watches
Magnum Footwear Lifestyle Boots,5999.0,3599.0,,,Footwear
,,,,,Others
,,,,,Others
No rating available,,,,,Others
Pinza Blue Cowboy Boots,3250.0,1800.0,,,Footwear
Magnum Footwear Lifestyle Boots,3599.0,2399.0,,,Footwear
Steppings Trendy Boots,2199.0,1099.0,,,Footwear
"Eleganzza Denim Denim Analog Watch  - For Men, Women, Boys, Girls, Couple",1299.0,499.0,,,Watches
CatBird Boots,1399.0,999.0,,,Footwear
Bruno Manetti 664 Boots,2999.0,1199.0,,,Footwear
"Lenco Bdblue Tango Analog Watch  - For Men, Boys",1499.0,599.0,,,Watches
Get Glamr Designer Kuyal Boots,2799.0,2239.0,,,Footwear
"Zoop C4040PP03 Digital Watch  - For Boys, Girls",750.0,750.0,,,Watches
"Shoppingekart DS0222 Rewin Pack of 3 Digital Watch  - For Boys, Girls, Couple, Men",2399.0,479.0,,,Watches
Stylistry Maxis Sa3228-25relong1712 Boots,2299.0,1599.0,,,Footwear
Steppings Trendy Boots,1799.0,719.0,,,Footwear
Salt N Pepper 14-475 Dorthea Almond Boots Boots,4695.0,3521.0,,,Footwear
"D'Signer 681GM_WHT Analog Watch  - For Men, Boys",6995.0,6645.0,,,Watches
Rialto Boots,2495.0,1799.0,,,Footwear
"SwissFire 205SM005 Analog Watch  - For Boys, Men",2195.0,1207.0,,,Watches
Get Glamr Designer Uggy Boots,3499.0,2799.0,,,Footwear
"A Avon PK_741 Analog Watch  - For Men, Boys",1299.0,639.0,,,Watches
Carl 3346-1-Cheetablue Boots,2299.0,1149.0,,,Footwear
Logues LGSWATCH61003PP DIGI YELLOW Sports Analog-Digital Watch  - For Boys,1235.0,1235.0,,,Watches
Kielz Ladies Boots,2799.0,1299.0,,,Footwear
Swag 670014 Analog Watch  - For Boys,1499.0,599.0,,,Watches
"Zoop C3030PP05 Analog Watch  - For Boys, Girls",650.0,650.0,,,Watches
20Dresses Brown Shiver Me Timbers Boots,2795.0,2795.0,,,Footwear
"""ezyPRNT """"RH"""" Golf Ball -   Size: 4.26 cm",,,,,Clothing
"""ezyPRNT """"BC"""" Golf Ball -   Size: 4",,,,,Clothing
"""ezyPRNT """"OL"""" Golf Ball -   Size: 4.26 cm",,,,,Clothing
"""ezyPRNT """"CV"""" Golf Ball -   Size: 4",,,,,Clothing
Traditions Printed Protective Men's Gloves,500.0,399.0,,,Clothing
First Choice Cotton Embroidered Diwan Set,2199.0,979.0,,,Home Furnishing
Eccellente Solid Hip Hop Cap,,899.0,,,Clothing
Nechams Resin Magnetic Magnetic Melamine Small Whiteboards,1799.0,799.0,,,Pens & Stationery
Traditions Printed Protective Men's Gloves,500.0,399.0,,,Clothing
First Choice Cotton Embroidered Diwan Set,2199.0,979.0,,,Home Furnishing
First Choice Cotton Embroidered Diwan Set,2199.0,979.0,,,Home Furnishing
JASPO Thunder Intact Superior Senior Skates Combo (skates+helmet+knee+elbow+bag)suitable for age upto 6 to 14 years Skating Kit,1399.0,770.0,,,Sports & Fitness
Masaba for Magic fairy Girl's Layered Pink Dress,1775.0,1598.0,,,Clothing
Momin Libas AK2414 Kashibo Solid Abaya No,3999.0,2398.0,,,Clothing
ACM Pouch for Swipe Elite Plus,990.0,339.0,,,Mobiles & Accessories
A R ENTERPRISES musical wlking cow,999.0,299.0,,,Toys & School Supplies
First Choice Cotton Embroidered Diwan Set,2199.0,979.0,,,Home Furnishing
SANTOSH ROYAL FASHION Cotton Embroidered Diwan Set,2199.0,979.0,,,Home Furnishing
First Choice Cotton Embroidered Diwan Set,2199.0,979.0,,,Home Furnishing
ShoeBuzz Casuals,799.0,247.0,,,Footwear
Zed Loafers,499.0,499.0,,,Footwear
House This Queen Cotton Duvet Cover,1160.0,1160.0,,,Home Furnishing
ACM Pouch for Intex Aqua Lions 3g,990.0,339.0,,,Mobiles & Accessories
womaniya Alloy Bracelet,,2000.0,,,Jewellery
Taj Pearl Alloy Cuff,,665.0,,,Jewellery
JASPO Saphire Dual Shoe Skates Combo Size 5 Skating Kit,2299.0,1270.0,,,Sports & Fitness
Taj Pearl Alloy Cuff,,665.0,,,Jewellery
Bento Musical Teddy Bear,199.0,63.0,,,Toys & School Supplies
Wake Up Competition Full Sleeve Striped Men's Sweatshirt,1495.0,748.0,,,Clothing
Taj Pearl Alloy Cuff,,665.0,,,Jewellery
Taj Pearl Alloy Cuff,,665.0,,,Jewellery
Cellbazaar Blackberry 8520 WHITE LCD LCD,5000.0,1000.0,,,Others
Dressberry Gold Synthetic  Clutch,1299.0,1299.0,,,Clothing
Mast & Harbour Black Synthetic  Clutch,1899.0,1899.0,,,Others
JQR JQR Sports Shoes Running Shoes,1299.0,1299.0,,,Footwear
Sisel Printed Poly Cotton Women's Stole,299.0,128.0,,,Others
